,Trial Name,Grid Re,Rossby Number,Shaft Speed Standard Deviation * M / u_inf,Shaft Speed Standard Deviation * M^2 / nu,Turbulence Intensity,Turbulence Intensity Uncertainty,L_ux / M,L_ux Uncertainty,Anisotropy,Re_lambda,Epsilon
93,fs_9.75_Ro_15_Std_0.14,38276.74774242613,15.0,0.0008965690052188015,34.317745646438,0.12092283056394572,0.007727222062496859,2.2874367861425786,0.38827435305599284,1.1524197523243256,554.9425722571059,5.640093222558366
94,fs_9.75_Ro_15_Std_0.93,38489.37938464306,15.0,0.005922877568796355,227.96788179419525,0.12111430383125593,0.007720037119885399,2.2353160416755915,0.35922356626360613,1.1565981744064384,560.3360727377872,5.691899827394372
95,fs_9.75_Ro_15_Std_1.73,38278.00330802213,15.0,0.011078667872920427,424.06928548812664,0.1195585162961606,0.007660259052134104,2.1258328937444886,0.22641681280834305,1.1390254387439027,542.3846810953753,5.643043130520293
96,fs_9.75_Ro_15_Std_2.53,38585.68295785876,15.0,0.01607255960350308,620.1706891820579,0.12209569294415322,0.007787779710497091,2.439153281427573,0.1539050883777022,1.1634896988808043,571.9453779533986,5.699097180166419
97,fs_9.75_Ro_20_Std_0.14,38952.4055440582,20.0,0.0008810173638088141,34.31774564643799,0.12682536626699278,0.00849108125647372,2.482401029894382,0.2736932929203299,1.1475765143331207,605.5636560051447,6.146827963886003
98,fs_9.75_Ro_20_Std_0.93,39064.414776394915,20.0,0.00583569171838579,227.96788179419528,0.12718896469502516,0.008520362167535545,2.418340461635027,0.2074925354279947,1.1496596229098985,618.5488092892634,6.028150663184792
99,fs_9.75_Ro_20_Std_1.73,38996.89900793717,20.0,0.010874436077643362,424.0692854881266,0.12827134664425444,0.008639674225052638,2.491267115160666,0.21136059517655464,1.1519031294317323,626.4501995091123,6.037745981440743
100,fs_9.75_Ro_20_Std_2.53,37538.66687005842,20.0,0.01652085012312247,620.170689182058,0.1271362464253325,0.008328524921891518,2.667288878435628,0.3903682000630394,1.1731889475349633,582.9475126125741,5.777541106498919
101,fs_9.75_Ro_25_Std_0.14,37764.30459277534,25.0,0.0009087350082703045,34.317745646438,0.13160922355901897,0.00898847813988316,2.374289828830405,0.28905338575662964,1.1615668289325056,609.9537628039712,6.207067599603383
102,fs_9.75_Ro_25_Std_0.93,37871.58209844995,25.0,0.0060194971839723,227.96788179419522,0.131476865541168,0.00893747416069533,2.4586391765346636,0.40694465572177213,1.1656010644135777,618.704811993727,6.077055496892767
